iter	Passed	Remaining
264	1054	10883
265	1058	10876
266	1062	10877
267	1066	10870
268	1070	10864
269	1074	10863
270	1078	10863
271	1082	10859
272	1086	10852
273	1089	10843
274	1092	10830
275	1096	10822
276	1102	10842
277	1108	10851
278	1112	10850
279	1115	10839
280	1119	10828
281	1122	10814
282	1124	10800
283	1129	10798
284	1132	10789
285	1136	10781
286	1139	10773
287	1143	10767
288	1150	10794
289	1157	10815
290	1161	10817
291	1165	10804
292	1168	10796
293	1171	10783
294	1175	10775
295	1179	10775
296	1183	10769
297	1187	10763
298	1190	10751
299	1194	10746
300	1197	10737
301	1201	10731
302	1207	10747
303	1211	10744
304	1215	10740
305	1219	10734
306	1223	10733
307	1227	10730
308	1230	10720
309	1234	10714
310	1238	10707
311	1242	10704
312	1245	10696
313	1249	10684
314	1253	10681
315	1257	10683
316	1261	10677
317	1264	10665
318	1268	10657
319	1271	10649
320	1276	10651
321	1279	10641
322	1282	10629
323	1285	10619
324	1290	10621
325	1294	10615
326	1297	10606
327	1300	10594
328	1303	10582
329	1306	10574
330	1310	10568
331	1314	10565
332	1318	10560
333	1322	10559
334	1326	10550
335	1329	10541
336	1332	10530
337	1335	10521
338	1342	10538
339	1349	10556
340	1356	10577
341	1361	10580
342	1366	10582
343	1369	10574
344	1374	10576
345	1377	10566
346	1380	10557
347	1384	10547
348	1388	10543
349	1392	10539
350	1395	10532
351	1399	10530
352	1404	10534
353	1411	10549
354	1416	10550
355	1420	10549
356	1423	10540
357	1427	10537
358	1435	10557
359	1438	10549
360	1442	10544
361	1446	10541
362	1450	10534
363	1454	10531
364	1457	10524
365	1461	10514
366	1464	10508
367	1468	10502
368	1472	10500
369	1476	10494
370	1479	10486
371	1483	10482
372	1487	10474
373	1490	10467
374	1494	10463
375	1497	10453
376	1501	10449
377	1505	10443
378	1509	10438
379	1513	10432
380	1517	10428
381	1521	10424
382	1527	10439
383	1532	10438
384	1535	10431
385	1539	10422
386	1542	10414
387	1545	10404
388	1549	10398
389	1552	10391
390	1556	10383
391	1559	10378
392	1563	10371
393	1566	10363
394	1569	10353
395	1572	10343
396	1576	10333
397	1579	10323
398	1583	10320
399	1586	10312
400	1589	10303
401	1592	10294
402	1596	10290
403	1601	10289
404	1604	10282
405	1607	10273
406	1611	10265
407	1618	10280
408	1623	10282
409	1629	10294
410	1634	10295
411	1637	10286
412	1640	10277
413	1643	10268
414	1648	10271
415	1652	10262
416	1655	10253
417	1658	10244
418	1661	10236
419	1667	10245
420	1671	10239
421	1675	10234
422	1679	10232
423	1684	10231
424	1687	10221
425	1690	10214
426	1694	10208
427	1698	10205
428	1701	10197
